displacement_mm,RD2_force_kN,RD5_force_kN,RD6_force_kN,RD7_force_kN,RD8_force_kN,TD2_force_kN,TD3_force_kN,TD4_force_kN,TD6_force_kN,TD7_force_kN
0.96241566,20.994733,21.104634,21.052541,21.137023,20.95913,20.599607,20.67585,20.78945,20.825173,20.937508
0.9694406,20.99761,21.106471,21.054333,21.139656,20.961022,20.600614,20.680143,20.792791,20.826645,20.939212
0.97646553,21.000477,21.108131,21.055971,21.142431,20.963153,20.604914,20.6844,20.796115,20.82826,20.940863
0.98349046,21.003343,21.109746,21.057585,21.145241,20.965344,20.610037,20.688605,20.799434,20.831049,20.942434
0.99051539,21.007065,21.112273,21.0591,21.150434,20.96794,20.622911,20.692776,20.801886,20.838738,20.943927
0.99754032,21.011112,21.115323,21.060586,21.155782,20.970573,20.635767,20.696925,20.804417,20.845665,20.945365
1.0045653,21.016567,21.120656,21.062025,21.161735,20.97335,20.648281,20.700624,20.807327,20.851374,20.946708
1.0115902,21.021342,21.125926,21.064524,21.167633,20.976182,20.659128,20.704198,20.810178,20.856042,20.948025
1.0186151,21.024994,21.131093,21.067799,21.173442,20.979103,20.667216,20.708192,20.812933,20.859948,20.949212
1.0256401,21.028311,21.135939,21.071917,21.178967,20.982068,20.674026,20.712111,20.815342,20.862934,20.950431
1.032665,21.031376,21.140542,21.076287,21.184278,20.985066,20.679868,20.715596,20.817489,20.865644,20.951825
1.0396899,21.034096,21.143873,21.077689,21.191349,20.98809,20.690661,20.718851,20.819298,20.867717,20.95314
1.0467148,21.036707,21.146805,21.078958,21.198972,20.991121,20.703008,20.721694,20.821002,20.869682,20.954313
1.0537398,21.03936,21.14939,21.080153,21.205288,21.000058,20.716622,20.724117,20.823286,20.871198,20.955675
1.0607647,21.042012,21.152262,21.081345,21.211426,21.009434,20.729942,20.726197,20.825628,20.872702,20.957191
1.0677896,21.044646,21.156931,21.082528,21.216903,21.019679,20.741172,20.727487,20.828139,20.874184,20.959381
1.0748146,21.048507,21.16163,21.083694,21.223418,21.027132,20.751114,20.728505,20.83092,20.875756,20.961804
1.0818395,21.054781,21.166388,21.084845,21.231971,21.029102,20.758527,20.729606,20.834228,20.877405,20.964455
1.0888644,21.059472,21.17087,21.086052,21.239633,21.030995,20.761534,20.730697,20.837372,20.879126,20.967152
1.0958894,21.062758,21.175107,21.08728,21.246504,21.032821,20.760627,20.731682,20.84037,20.880874,20.970062
1.1029143,21.066563,21.178746,21.088713,21.250212,21.034479,20.762139,20.732886,20.843648,20.883756,20.973047
1.1099392,21.070569,21.182154,21.090179,21.252702,21.036072,20.764585,20.734556,20.847034,20.887127,20.976189
1.1169642,21.075555,21.185471,21.091772,21.254534,21.037443,20.769103,20.73668,20.850632,20.893544,20.979422
1.1239891,21.080421,21.188812,21.093423,21.256212,21.038767,20.773974,20.739236,20.854309,20.900083,20.982741
1.131014,21.083497,21.19243,21.095204,21.257108,21.039873,20.780181,20.742322,20.85848,20.906899,20.986154
1.138039,21.086229,21.195678,21.098482,21.258532,21.04091,20.78658,20.74563,20.862691,20.91414,20.989606
1.1450639,21.088155,21.198057,21.103262,21.261198,21.041784,20.793429,20.748889,20.866995,20.921807,21.00134
1.1520888,21.08989,21.200094,21.108462,21.264104,21.042523,20.800033,20.752158,20.870995,20.929842,21.013333
1.1591138,21.091428,21.201776,21.11385,21.267257,21.04312,20.806384,20.755599,20.874679,20.93804,21.018146
1.1661387,21.092792,21.20271,21.118496,21.269323,21.043793,20.813037,20.759301,20.878152,20.947099,21.022924
1.1731636,21.094076,21.203297,21.12319,21.270883,21.044501,20.819831,20.763672,20.881527,20.955914,21.027616
1.1801886,21.095136,21.203651,21.129685,21.272172,21.045548,20.827263,20.768309,20.885385,20.960351,21.032192
1.1872135,21.096152,21.203964,21.135786,21.273426,21.046664,20.83538,20.773244,20.889303,20.964548,21.03664
1.1942384,21.096982,21.204174,21.140809,21.274732,21.048058,20.851788,20.778348,20.893076,20.968088,21.040867
1.2012633,21.097795,21.204365,21.144103,21.276072,21.04967,20.868085,20.783537,20.896708,20.971451,21.044983
1.2082883,21.098558,21.204497,21.145364,21.27751,21.051904,20.884061,20.788678,20.899939,20.974604,21.048624
1.2153132,21.099306,21.20461,21.146481,21.279003,21.054294,20.897643,20.7938,20.90301,20.97718,21.052183
1.2223381,21.100037,21.204699,21.147521,21.280563,21.056872,20.908308,20.798679,20.905887,20.979449,21.055668
1.2293631,21.100817,21.204744,21.148337,21.282081,21.059336,20.91938,20.803628,20.909034,20.980671,21.059114
1.236388,21.101624,21.204767,21.1491,21.283574,21.061737,20.930677,20.808795,20.912331,20.98169,21.062433
1.2434129,21.102441,21.204853,21.149553,21.284486,21.063768,20.944145,20.813914,20.915545,20.982453,21.065637
1.2504379,21.103278,21.204956,21.149964,21.285264,21.065727,20.958021,20.81897,20.918735,20.983176,21.068691
1.2574628,21.104761,21.205155,21.15023,21.285385,21.067685,20.971154,20.822171,20.921667,20.983763,21.071876
1.2644877,21.10628,21.205388,21.150444,21.285298,21.069692,20.983884,20.824262,20.924687,20.984317,21.07514
1.2715127,21.107929,21.205742,21.150588,21.284468,21.071872,20.995181,20.826217,20.928017,20.984826,21.080259
1.2785376,21.109299,21.206169,21.150677,21.283593,21.073564,21.01139,20.828141,20.93127,20.985402,21.085833
1.2855625,21.110273,21.2067,21.150733,21.282652,21.07456,21.034614,20.829934,20.934412,20.986022,21.09547
1.2925875,21.111066,21.207499,21.15085,21.281752,21.075502,21.054262,20.831889,20.937354,20.986615,21.103464
1.2996124,21.111741,21.208472,21.150983,21.280878,21.076409,21.071567,20.83449,20.940164,20.987201,21.10498
1.3066373,21.112072,21.210195,21.151248,21.280312,21.077237,21.079243,20.837369,20.942464,20.987666,21.106443
1.3136623,21.112316,21.212109,21.151514,21.279825,21.078045,21.084454,20.840677,20.944632,20.988156,21.107826
1.3206872,21.112625,21.214821,21.151779,21.28029,21.079214,21.08176,20.843259,20.946429,20.988754,21.109099
1.3277121,21.112947,21.217733,21.152041,21.280887,21.080512,21.07741,20.845328,20.94824,20.989389,21.110294
1.3347371,21.113323,21.221506,21.152295,21.282038,21.082382,21.06597,20.847233,20.950132,20.990086,21.111351
1.341762,21.11414,21.225353,21.152524,21.283416,21.083906,21.054104,20.849092,20.952003,20.990834,21.112369
1.3487869,21.1157,21.229325,21.152734,21.285175,21.084846,21.041524,20.850736,20.95384,20.99162,21.113172
1.3558118,21.114911,21.233278,21.152928,21.287215,21.085455,21.028195,20.852453,20.955795,20.992456,21.113935
1.3628368,21.112311,21.237217,21.153116,21.289472,21.085809,21.014287,20.854577,20.957842,20.993308,21.114521
1.3698617,21.110858,21.240963,21.153378,21.292031,21.086138,20.998151,20.856595,20.959956,20.994213,21.115033
1.3768866,21.109774,21.244648,21.15365,21.294686,21.086459,20.9813,20.858421,20.962091,20.995127,21.115409
1.3839116,21.116229,21.247702,21.15396,21.297394,21.08678,20.962391,20.860016,20.965088,20.996078,21.115743
1.3909365,21.123023,21.250483,21.154289,21.299917,21.087096,20.943106,20.861421,20.96816,20.9972,21.116041
1.3979614,21.129418,21.251811,21.154654,21.3013,21.087384,20.922206,20.862417,20.971413,20.998649,21.116553
1.4049864,21.13505,21.253091,21.155055,21.302665,21.087627,20.900394,20.863269,20.974677,21.001766,21.117139
1.4120113,21.139155,21.254275,21.155486,21.303993,21.087782,20.876761,20.86373,20.977963,21.006335,21.117715
1.4190362,21.143568,21.255278,21.155942,21.305198,21.087896,20.857122,20.864239,20.981197,21.008446,21.118292
1.4260612,21.148259,21.256119,21.156406,21.306294,21.087974,20.84109,20.865301,20.984383,21.009629,21.118878
