displacement_mm,VA1_force_kN,VA2_force_kN,VP2_force_kN,VP6_force_kN
2.2760779,30.1552,29.6248,27.5539,26.5797
2.2831029,30.1607,29.6268,27.5435,26.3297
2.2901278,30.1663,29.6185,27.5314,26.0798
2.2971527,30.1719,29.5976,27.5074,25.6291
2.3041776,30.1774,29.5767,27.4835,25.4312
2.3112026,30.183,29.5558,27.4595,25.2211
2.3182275,30.1886,29.5349,27.4356,24.8781
2.3252524,30.1941,29.514,27.4116,24.5352
2.3322774,30.1904,29.4454,27.3877,24.1922
2.3393023,30.1758,29.3629,27.3589,23.7929
2.3463272,30.1612,29.2804,27.3103,23.1658
2.3533522,30.1465,29.1979,27.2617,22.5387
2.3603771,30.1319,29.1154,27.2131,21.9116
2.367402,30.1173,29.033,27.1157,21.2845
2.374427,30.06,28.9505,26.9498,20.5549
2.3814519,29.991,28.868,26.7839,19.7098
2.3884768,29.922,28.7855,26.618,18.8647
2.3955018,29.8527,28.703,26.2948,18.0195
2.4025267,29.6749,28.6205,26.1631,17.2789
2.4095516,29.497,28.538,26.0314,16.7145
2.4165766,29.3191,28.3853,25.7499,16.2159
2.4236015,29.1032,28.1569,25.5325,
2.4306264,28.8543,27.8924,25.404,
2.4376514,28.6054,27.5328,25.0778,
2.4446763,28.3565,27.1731,24.6424,
2.4517012,28.0473,26.8135,24.1022,
2.4587261,27.6606,26.4538,23.4273,
2.4657511,27.2739,26.0941,22.7524,
2.472776,27.0375,25.9453,22.0775,
2.4798009,26.7443,25.9453,21.4026,
2.4868259,26.1463,25.9245,20.7276,
2.4938508,25.5483,25.5177,20.0527,
2.5008757,24.9503,24.9345,19.3778,
2.5079007,24.3523,24.3513,,
2.5149256,24.08,24.08,,
2.5219505,23.8333,23.8333,,
2.5289755,23.5502,23.4447,,
2.5360004,22.9433,21.8338,,
2.5430253,22.6046,21.4914,,
2.5500503,22.266,21.149,,
2.5570752,21.9274,20.8066,,
2.5641001,21.5887,20.4642,,
2.5711251,21.2696,20.1978,,
2.57815,21.1238,20.1635,,
2.5851749,20.5592,19.6896,,
2.5921999,20.2001,19.0517,,
2.5992248,20.0484,18.6064,,
2.6062497,19.8966,18.1612,,
2.6132746,19.7449,17.716,,
2.6202996,19.5931,17.0724,,
2.6273245,19.2307,16.3782,,
2.6343494,18.8315,15.684,,
2.6413744,18.4322,14.7956,,
2.6483993,18.033,13.8001,,
2.6554242,17.6337,12.8046,,
2.6624492,17.2345,11.8091,,
2.6694741,16.8352,11.498,,
2.676499,16.436,11.2965,,
2.683524,16.1105,,,
2.6905489,,,,
2.6975738,,,,
2.7045988,,,,
2.7116237,,,,
2.7186486,,,,
2.7256736,,,,
2.7326985,,,,
2.7397234,,,,
2.7467484,,,,
2.7537733,,,,
2.7607982,,,,
2.7678232,,,,
2.7748481,,,,
2.781873,,,,
2.7888979,,,,
2.7959229,,,,
2.8029478,,,,
2.8099727,,,,
2.8169977,,,,
2.8240226,,,,
2.8310475,,,,
2.8380725,,,,
2.8450974,,,,
2.8521223,,,,
2.8591473,,,,
2.8661722,,,,
2.8731971,,,,
2.8802221,,,,
2.887247,,,,
2.8942719,,,,
2.9012969,,,,
2.9083218,,,,
2.9153467,,,,
2.9223717,,,,
2.9293966,,,,
2.9364215,,,,
2.9434464,,,,
2.9504714,,,,
2.9574963,,,,
2.9645212,,,,
2.9715462,,,,
2.9785711,,,,
2.985596,,,,
2.992621,,,,
2.9996459,,,,
3.0066708,,,,
3.0136958,,,,
3.0207207,,,,
3.0277456,,,,
3.0347706,,,,
3.0417955,,,,
3.0488204,,,,
3.0558454,,,,
3.0628703,,,,
3.0698952,,,,
3.0769202,,,,
3.0839451,,,,
3.09097,,,,
3.0979949,,,,
3.1050199,,,,
3.1120448,,,,
3.1190697,,,,
3.1260947,,,,
3.1331196,,,,
3.1401445,,,,
3.1471695,,,,
3.1541944,,,,
3.1612193,,,,
3.1682443,,,,
3.1752692,,,,
3.1822941,,,,
3.1893191,,,,
3.196344,,,,
3.2033689,,,,
3.2103939,,,,
3.2174188,,,,
3.2244437,,,,
3.2314687,,,,
3.2384936,,,,
3.2455185,,,,
